username,bloc,trade_score,abortion_score,migration_score,economics_score,rights_score
smhsince91,Post-Scarcity Front,0,3,1,4,0
grentea100,Post-Scarcity Front,0,5,4,1,0
thumbsup.eth,Post-Scarcity Front,2,1,0,5,0
rathermercurial.eth,Post-Scarcity Front,2,0,1,4,0
kiowayyy,Post-Scarcity Front,0,0,0,0,0
vipulpapriwal,Post-Scarcity Front,0,0,0,0,0
hiponax.eth,Post-Scarcity Front,3,1,3,0,0
dribble,Post-Scarcity Front,0,5,1,0,0
chado,Post-Scarcity Front,1,0,3,3,0
sirchidex,Post-Scarcity Front,0,0,1,0,0
peachybyrne,Post-Scarcity Front,1,0,1,5,4
rolandantoun1,Post-Scarcity Front,3,1,0,1,1
donlatyler,Post-Scarcity Front,0,0,0,0,0
onaysat,Post-Scarcity Front,0,0,1,0,0
eek.eth,Post-Scarcity Front,2,0,1,1,0
liturgy,Post-Scarcity Front,3,1,0,4,0
pinstripedgator,Post-Scarcity Front,2,5,1,1,0
huugo,Post-Scarcity Front,1,2,1,4,0
axolotito,Post-Scarcity Front,4,0,0,5,0
elfahmi,Post-Scarcity Front,0,1,3,5,1
athxna.eth,Post-Scarcity Front,2,0,1,3,0
lorenzo-007,Post-Scarcity Front,3,0,3,0,0
insanelabz,Post-Scarcity Front,1,1,3,1,3
kryptocockcoin,Post-Scarcity Front,0,5,5,1,0
listen2mm.eth,Post-Scarcity Front,2,0,1,4,1
schorn.eth,Post-Scarcity Front,0,2,1,5,0
speakup,Post-Scarcity Front,3,0,1,3,0
beerguy.eth,Post-Scarcity Front,0,0,1,2,0
zoo,Post-Scarcity Front,0,0,1,5,0
augustuscaesar,Post-Scarcity Front,0,0,3,3,0
ako1988,Post-Scarcity Front,0,2,1,0,0
hdr,Post-Scarcity Front,0,0,1,5,2
thatfineboykp,Post-Scarcity Front,0,0,1,3,0
jonathancolton,Post-Scarcity Front,1,0,1,1,0
b05,Post-Scarcity Front,2,0,1,1,0
sa,Post-Scarcity Front,0,0,0,0,0
purp,Post-Scarcity Front,2,0,1,5,0
